Year,closing_price
2014-02-26,16.86666679
2014-02-27,16.83600044
2014-02-28,16.32066727
2014-03-03,16.70400047
2014-03-04,16.9893322
2014-03-05,16.84399986
2014-03-06,16.86266708
2014-03-07,16.41399956
2014-03-10,15.92266655
2014-03-11,15.62733269
2014-03-12,16.09933281
2014-03-13,15.85266685
2014-03-14,15.39799976
2014-03-17,15.59866714
2014-03-18,16.00266647
2014-03-19,15.72266674
2014-03-20,15.66066742
2014-03-21,15.25933266
2014-03-24,14.67800045
2014-03-25,14.6960001
2014-03-26,14.19733334
2014-03-27,13.82133293
2014-03-28,14.15799999
2014-03-31,13.89666653
2014-04-01,14.46466732
2014-04-02,15.35266685
2014-04-03,15.02666664
2014-04-04,14.14866734
2014-04-07,13.83466721
2014-04-08,14.36400032
2014-04-09,14.46199989
2014-04-10,13.61266708
2014-04-11,13.58533287
2014-04-14,13.20600033
2014-04-15,12.92733288
2014-04-16,13.27400017
2014-04-17,13.20800018
2014-04-21,13.62533283
2014-04-22,14.57600021
2014-04-23,13.86600018
2014-04-24,13.85733318
2014-04-25,13.32333279
2014-04-28,13.23400021
2014-04-29,13.79466724
2014-04-30,13.85933304
2014-05-01,13.84866714
2014-05-02,14.06066704
2014-05-05,14.44066715
2014-05-06,13.81866741
2014-05-07,13.42333317
2014-05-08,11.90600014
2014-05-09,12.15066719
2014-05-12,12.3113327
2014-05-13,12.67733288
2014-05-14,12.70800018
2014-05-15,12.57266712
2014-05-16,12.77066708
2014-05-19,13.07266712
2014-05-20,13.02000046
2014-05-21,13.2966671
2014-05-22,13.65866661
2014-05-23,13.81999969
2014-05-27,14.10400009
2014-05-28,14.01599979
2014-05-29,14.01599979
2014-05-30,13.85133266
2014-06-02,13.64666653
2014-06-03,13.66266727
2014-06-04,13.59933281
2014-06-05,13.79333305
2014-06-06,13.87800026
2014-06-09,13.68733311
2014-06-10,13.48666668
2014-06-11,13.63133335
2014-06-12,13.56799984
2014-06-13,13.76133347
2014-06-16,14.97399998
2014-06-17,15.44466686
2014-06-18,15.14133263
2014-06-19,15.18599987
2014-06-20,15.30599976
2014-06-23,15.81466675
2014-06-24,15.5
2014-06-25,15.79266739
2014-06-26,15.70666695
2014-06-27,15.93733311
2014-06-30,16.00399971
2014-07-01,15.98133278
2014-07-02,15.29533291
2014-07-03,15.28333282
2014-07-07,14.84399986
2014-07-08,14.60466671
2014-07-09,14.87066746
2014-07-10,14.63066673
2014-07-11,14.54199982
2014-07-14,15.11333275
2014-07-15,14.63866711
2014-07-16,14.47733307
2014-07-17,14.35999966
2014-07-18,14.66800022
2014-07-21,14.70266724
2014-07-22,14.63866711
2014-07-23,14.83266735
2014-07-24,14.90266705
2014-07-25,14.9046669
2014-07-28,14.98799992
2014-07-29,15.00066662
2014-07-30,15.26133347
2014-07-31,14.88666725
2014-08-01,15.55133343
2014-08-04,15.90133286
2014-08-05,15.899333
2014-08-06,16.5953331
2014-08-07,16.82600021
2014-08-08,16.54199982
2014-08-11,17.28800011
2014-08-12,17.3306675
2014-08-13,17.35400009
2014-08-14,17.42533302
2014-08-15,17.46733284
2014-08-18,17.32933235
2014-08-19,17.11733246
2014-08-20,17.04733276
2014-08-21,16.95599937
2014-08-22,17.1186676
2014-08-25,17.50333214
2014-08-26,17.44933319
2014-08-27,17.54999924
2014-08-28,17.59066772
2014-08-29,17.97999954
2014-09-02,18.94133377
2014-09-03,18.74600029
2014-09-04,19.06933212
2014-09-05,18.49266624
2014-09-08,18.80733299
2014-09-09,18.56533241
2014-09-10,18.73999977
2014-09-11,18.68733215
2014-09-12,18.61333275
2014-09-15,16.92399979
2014-09-16,17.38266754
2014-09-17,17.42533302
2014-09-18,17.58799934
2014-09-19,17.28800011
2014-09-22,16.66866684
2014-09-23,16.69400024
2014-09-24,16.8093338
2014-09-25,16.46333313
2014-09-26,16.44000053
2014-09-29,16.35066795
2014-09-30,16.17866707
2014-10-01,16.01600075
2014-10-02,16.76133347
2014-10-03,17.01399994
2014-10-06,17.37466621
2014-10-07,17.30466652
2014-10-08,17.28533363
2014-10-09,17.13400078
2014-10-10,15.79399967
2014-10-13,14.97266674
2014-10-14,15.13733292
2014-10-15,15.31333256
2014-10-16,15.09000015
2014-10-17,15.16533279
2014-10-20,15.36466694
2014-10-21,15.68933296
2014-10-22,15.40666676
2014-10-23,15.68599987
2014-10-24,15.68266678
2014-10-27,14.77799988
2014-10-28,16.18466759
